store;websites;attribute_set;type;category_ids;sku;has_options;name;meta_title;meta_description;image;small_image;thumbnail;url_key;url_path;custom_design;page_layout;options_container;country_of_manufacture;msrp_enabled;msrp_display_actual_price_type;gift_message_available;price;special_price;weight;msrp;status;is_recurring;visibility;enable_googlecheckout;tax_class_id;description;short_description;meta_keyword;custom_layout_update;special_from_date;special_to_date;news_from_date;news_to_date;custom_design_from;custom_design_to;qty;min_qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;min_sale_qty;use_config_min_sale_qty;max_sale_qty;use_config_max_sale_qty;is_in_stock;low_stock_date;notify_stock_qty;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;stock_status_changed_automatically;use_config_enable_qty_increments;product_name;store_id;product_type_id;product_status_changed;product_changed_websites
admin;magentostore1;Default;simple;4,6,17;EN-A01827;0;Delo Energy;;;;;;delo-energy;delo-energy.html;;;Block after Info Column;;;;;3.99;;;;Disabled;;Catalog, Search;Yes;None;"DELO

New to America, but already famous in Europe, DELO is the creation of French inventor and entrepreneur Marguerite Deperrois. She was the daughter of a prevalent pharmacologist and grew up interacting and learning from some of the most talented herbalists and homeopaths in France.  Her passion for utilizing the natural power of plants and bringing people a better quality of life is in every capsule.

 

How to use it:

Each individual box holds a booster cap with a liquid formula inside. Add water to your DELO shaker bottle (or compatible bottle of water) and simply screw the cap onto it. (*you can also break the seal and pour the contents into your water bottle).  

 

DELO ENERGY… Optimum vitality, increased stamina, more energy in and out of bed

The blend of these 3 plants strengthen your mental and physical capacity. Guarana develops energy production and improves concentration. Ginseng strengthens vitality and supports healthy body functioning. Acerola is a body tonic that fortifies natural immune defenses.";"DELO

New to America, but already famous in Europe, DELO is the creation of French inventor and entrepreneur Marguerite Deperrois. She was the daughter of a prevalent pharmacologist and grew up interacting and learning from some of the most talented herbalists and homeopaths in France.  Her passion for utilizing the natural power of plants and bringing people a better quality of life is in every capsule.

 

How to use it:

Each individual box holds a booster cap with a liquid formula inside. Add water to your DELO shaker bottle (or compatible bottle of water) and simply screw the cap onto it. (*you can also break the seal and pour the contents into your water bottle).  

 

DELO ENERGY… Optimum vitality, increased stamina, more energy in and out of bed

The blend of these 3 plants strengthen your mental and physical capacity. Guarana develops energy production and improves concentration. Ginseng strengthens vitality and supports healthy body functioning. Acerola is a body tonic that fortifies natural immune defenses.";;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:25;;1;1;0;1;1;0;1;0;0;1;1;Delo Energy;0;simple;;
admin;magentostore1;Default;simple;4,6,17;EN-A01825;0;Delo Sexy;;;;;;delo-sexy;delo-sexy.html;;;Block after Info Column;;;;;3.99;;;;Disabled;;Catalog, Search;Yes;None;"DELO

New to America, but already famous in Europe, DELO is the creation of French inventor and entrepreneur Marguerite Deperrois. She was the daughter of a prevalent pharmacologist and grew up interacting and learning from some of the most talented herbalists and homeopaths in France.  Her passion for utilizing the natural power of plants and bringing people a better quality of life is in every capsule.

 

How to use it:

Each individual box holds a booster cap with a liquid formula inside. Add water to your DELO shaker bottle (or compatible bottle of water) and simply screw the cap onto it. (*you can also break the seal and pour the contents into your water bottle).  

 

 

DELO SEXY… Optimum sexual dynamism, increased pleasure

This hot, exciting and potent formula combines the complementary properties of 3 plant aphrodisiacs that work equally effectively for men and women. Ginger strengthens your constitution and boosts your confidence. Galangal relaxes and arouses desire. Cardamom stimulates blood circulation and increases sexual energy.";"DELO

New to America, but already famous in Europe, DELO is the creation of French inventor and entrepreneur Marguerite Deperrois. She was the daughter of a prevalent pharmacologist and grew up interacting and learning from some of the most talented herbalists and homeopaths in France.  Her passion for utilizing the natural power of plants and bringing people a better quality of life is in every capsule.

 

How to use it:

Each individual box holds a booster cap with a liquid formula inside. Add water to your DELO shaker bottle (or compatible bottle of water) and simply screw the cap onto it. (*you can also break the seal and pour the contents into your water bottle).  

 

 

DELO SEXY… Optimum sexual dynamism, increased pleasure

This hot, exciting and potent formula combines the complementary properties of 3 plant aphrodisiacs that work equally effectively for men and women. Ginger strengthens your constitution and boosts your confidence. Galangal relaxes and arouses desire. Cardamom stimulates blood circulation and increases sexual energy.";;;;;;;;;-5;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:29;;1;1;0;1;1;0;1;0;0;1;1;Delo Sexy;0;simple;;
admin;magentostore1;Default;simple;4,6,17;EN-A01833;0;Delo Slim;;;;;;delo-slim;delo-slim.html;;;Block after Info Column;;;;;3.99;;;;Disabled;;Catalog, Search;Yes;None;"DELO

New to America, but already famous in Europe, DELO is the creation of French inventor and entrepreneur Marguerite Deperrois. She was the daughter of a prevalent pharmacologist and grew up interacting and learning from some of the most talented herbalists and homeopaths in France.  Her passion for utilizing the natural power of plants and bringing people a better quality of life is in every capsule.

 

How to use it:

Each individual box holds a booster cap with a liquid formula inside. Add water to your DELO shaker bottle (or compatible bottle of water) and simply screw the cap onto it. (*you can also break the seal and pour the contents into your water bottle).  

 

 

DELO SLIM…and your water helps burn calories and slenderize your figure

It helps you feel sexier and a little lighter. The genuine slim-down blend combines Mate and Bitter Orange, that attack fat and help you burn fat, Green Tea which reduces fat and sugar assimilation and drains water retention in your tissues, and Mango, Kiwi and Litchi to promote your skin’s natural glow.";"DELO

New to America, but already famous in Europe, DELO is the creation of French inventor and entrepreneur Marguerite Deperrois. She was the daughter of a prevalent pharmacologist and grew up interacting and learning from some of the most talented herbalists and homeopaths in France.  Her passion for utilizing the natural power of plants and bringing people a better quality of life is in every capsule.

 

How to use it:

Each individual box holds a booster cap with a liquid formula inside. Add water to your DELO shaker bottle (or compatible bottle of water) and simply screw the cap onto it. (*you can also break the seal and pour the contents into your water bottle).  

 

 

DELO SLIM…and your water helps burn calories and slenderize your figure

It helps you feel sexier and a little lighter. The genuine slim-down blend combines Mate and Bitter Orange, that attack fat and help you burn fat, Green Tea which reduces fat and sugar assimilation and drains water retention in your tissues, and Mango, Kiwi and Litchi to promote your skin’s natural glow.";;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:33;;1;1;0;1;1;0;1;0;0;1;1;Delo Slim;0;simple;;
admin;magentostore1;Default;simple;4,6,17;EN-A01831;0;Delo Sun;;;;;;delo-sun;delo-sun.html;;;Block after Info Column;;;;;3.99;;;;Disabled;;Catalog, Search;Yes;None;"DELO

New to America, but already famous in Europe, DELO is the creation of French inventor and entrepreneur Marguerite Deperrois. She was the daughter of a prevalent pharmacologist and grew up interacting and learning from some of the most talented herbalists and homeopaths in France.  Her passion for utilizing the natural power of plants and bringing people a better quality of life is in every capsule.

 

How to use it:

Each individual box holds a booster cap with a liquid formula inside. Add water to your DELO shaker bottle (or compatible bottle of water) and simply screw the cap onto it. (*you can also break the seal and pour the contents into your water bottle).  

 

 

DELO SUN…and your water makes you look good, and when you look good – you feel good!

Get your flirt on! These four plants work together to maximize your complexion’s glow and give it a new life. Carrot stimulates and brightens your natural tan, Rosehip and Mallow hydrate, soften and rejuvenate your skin and Acerola tones and enlivens.";"DELO

New to America, but already famous in Europe, DELO is the creation of French inventor and entrepreneur Marguerite Deperrois. She was the daughter of a prevalent pharmacologist and grew up interacting and learning from some of the most talented herbalists and homeopaths in France.  Her passion for utilizing the natural power of plants and bringing people a better quality of life is in every capsule.

 

How to use it:

Each individual box holds a booster cap with a liquid formula inside. Add water to your DELO shaker bottle (or compatible bottle of water) and simply screw the cap onto it. (*you can also break the seal and pour the contents into your water bottle).  

 

 

DELO SUN…and your water makes you look good, and when you look good – you feel good!

Get your flirt on! These four plants work together to maximize your complexion’s glow and give it a new life. Carrot stimulates and brightens your natural tan, Rosehip and Mallow hydrate, soften and rejuvenate your skin and Acerola tones and enlivens.";;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:37;;1;1;0;1;1;0;1;0;0;1;1;Delo Sun;0;simple;;
admin;magentostore1;Default;simple;4,6,17;SDI-DPILLs;0;Dick Pills;;;;;;dick-pills;dick-pills.html;;;Block after Info Column;;;;;7.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:40;;1;1;0;1;1;0;1;0;0;1;1;Dick Pills;0;simple;;
admin;magentostore1;Default;simple;4,6,17;EL-PR7323;0;Dragon 2000 Male Enhancement;;;;;;dragon-2000-male-enhancement;dragon-2000-male-enhancement.html;;;Block after Info Column;;;;;12.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:44;;1;1;0;1;1;0;1;0;0;1;1;Dragon 2000 Male Enhancement;0;simple;;
admin;magentostore1;Default;simple;4,6,17;NSNN-EP-EH-120;0;Ed Hardy Energy Shot Berry;;;;;;ed-hardy-energy-shot-berry;ed-hardy-energy-shot-berry.html;;;Block after Info Column;;;;;2.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:48;;1;1;0;1;1;0;1;0;0;1;1;Ed Hardy Energy Shot Berry;0;simple;;
admin;magentostore1;Default;simple;4,6,17;WELL-A-EMB;0;Elexia Sexual Enhancement;;;;;;elexia-sexual-enhancement;elexia-sexual-enhancement.html;;;Block after Info Column;;;;;7.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:51;;1;1;0;1;1;0;1;0;0;1;1;Elexia Sexual Enhancement;0;simple;;
admin;magentostore1;Default;simple;4,6,17;EL-PR1266;0;Exten Zone Premium 3000;;;;;;exten-zone-premium-3000;exten-zone-premium-3000.html;;;Block after Info Column;;;;;14.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:55;;1;1;0;1;1;0;1;0;0;1;1;Exten Zone Premium 3000;0;simple;;
admin;magentostore1;Default;simple;4,6,17;NSNN-EXTZP4F;0;Extenze 4 Pack Womens;;;;;;extenze-4-pack-womens;extenze-4-pack-womens.html;;;Block after Info Column;;;;;9.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:59;;1;1;0;1;1;0;1;0;0;1;1;Extenze 4 Pack Womens;0;simple;;
admin;magentostore1;Default;simple;4,6,17;BEAM-EX10-BD04;0;Extenze 4 Pk;;;;;;extenze-4-pk;extenze-4-pk.html;;;Block after Info Column;;;;;4.99;;;;Disabled;;Catalog, Search;Yes;None;ExtenZe is a safe and effective blood flow stimulator that makes the most of your natural potential. The penis is made up of three erectile chambers. When aroused, blood flow increases into these chambers, and the outflow of blood is decreased, producing an erection. The more blood that is pushed into the chambers, the larger you can become. ExtenZe helps force more blood flow so these chambers stretch, creating substantial growth in both length and girth. In just a few weeks, your penis can be larger.;ExtenZe is a safe and effective blood flow stimulator that makes the most of your natural potential. The penis is made up of three erectile chambers. When aroused, blood flow increases into these chambers, and the outflow of blood is decreased, producing an erection. The more blood that is pushed into the chambers, the larger you can become. ExtenZe helps force more blood flow so these chambers stretch, creating substantial growth in both length and girth. In just a few weeks, your penis can be larger.;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:04:02;;1;1;0;1;1;0;1;0;0;1;1;Extenze 4 Pk;0;simple;;
admin;magentostore1;Default;simple;4,6,17;BEAM-EX10-30;0;Extenze Box 30 Pack;;;;;;extenze-box-30-pack;extenze-box-30-pack.html;;;Block after Info Column;;;;;49.99;;;;Disabled;;Catalog, Search;Yes;None;Herbal supplement that stimulates blood flow for increased size and improved orgasms. Contains: L-Arginine, Ginseng-Eleuthero, Oat Straw, Saw Palmetto, Tribulus Terrestris, Sarsaparilla, Calcium, Yohimbe, Maca Extract, Catuaba, Miura Puama, Nettle, Astragalus, Cayenne, Ginkgo Biloba Extract, Boron, and Zinc;Herbal supplement that stimulates blood flow for increased size and improved orgasms. Contains: L-Arginine, Ginseng-Eleuthero, Oat Straw, Saw Palmetto, Tribulus Terrestris, Sarsaparilla, Calcium, Yohimbe, Maca Extract, Catuaba, Miura Puama, Nettle, Astragalus, Cayenne, Ginkgo Biloba Extract, Boron, and Zinc;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:04:07;;1;1;0;1;1;0;1;0;0;1;1;Extenze Box 30 Pack;0;simple;;
admin;magentostore1;Default;simple;4,6,17;EXT2PX;0;Extenze Fast Acting 2 Pack;;;;;;extenze-fast-acting-2-pack;extenze-fast-acting-2-pack.html;;;Block after Info Column;;;;;9.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:04:13;;1;1;0;1;1;0;1;0;0;1;1;Extenze Fast Acting 2 Pack;0;simple;;
admin;magentostore1;Default;simple;4,6,17;PP-EXT5CT;0;Extenze Plus 5 Pk;;;;;;extenze-plus-5-pk;extenze-plus-5-pk.html;;;Block after Info Column;;;;;9.99;;;;Disabled;;Catalog, Search;Yes;None;ExtenZe is a safe and effective blood flow stimulator that makes the most of your natural potential. The penis is made up of three erectile chambers. When aroused, blood flow increases into these chambers, and the outflow of blood is decreased, producing an erection. The more blood that is pushed into the chambers, the larger you can become. ExtenZe helps force more blood flow so these chambers stretch, creating substantial growth in both length and girth. In just a few weeks, your penis can be larger.;ExtenZe is a safe and effective blood flow stimulator that makes the most of your natural potential. The penis is made up of three erectile chambers. When aroused, blood flow increases into these chambers, and the outflow of blood is decreased, producing an erection. The more blood that is pushed into the chambers, the larger you can become. ExtenZe helps force more blood flow so these chambers stretch, creating substantial growth in both length and girth. In just a few weeks, your penis can be larger.;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:04:17;;1;1;0;1;1;0;1;0;0;1;1;Extenze Plus 5 Pk;0;simple;;
admin;magentostore1;Default;simple;4,6,17;BEAMCEX10SHOTDP;0;Extenze Shot;;;;;;extenze-shot;extenze-shot.html;;;Block after Info Column;;;;;5.99;;;;Disabled;;Catalog, Search;Yes;None;"We started with a delicious, bold-flavored shot and combined it with the ExtenZe male enhancement formula, which will temporarily enhance your size with each serving. Drink...Enjoy...and Enjoy again.

ExtenZe Shot Libido shooter can be mixed with alcohol. It contains caffeine to keep you going and other herbal ingredients like l-arginine, gamma aminobutyric acid, betaine, l-theanine, panax ginseng, Rhodiola rosea extract, maca extract, epimedium extract, yohimbine hci.";"We started with a delicious, bold-flavored shot and combined it with the ExtenZe male enhancement formula, which will temporarily enhance your size with each serving. Drink...Enjoy...and Enjoy again.

ExtenZe Shot Libido shooter can be mixed with alcohol. It contains caffeine to keep you going and other herbal ingredients like l-arginine, gamma aminobutyric acid, betaine, l-theanine, panax ginseng, Rhodiola rosea extract, maca extract, epimedium extract, yohimbine hci.";;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:04:21;;1;1;0;1;1;0;1;0;0;1;1;Extenze Shot;0;simple;;
admin;magentostore1;Default;simple;4,6,17;BEA-EX10SHOTDSP;0;Extenze Shot;;;;;;extenze-shot;extenze-shot-44.html;;;Block after Info Column;;;;;5.99;;;;Disabled;;Catalog, Search;Yes;None;"We started with a delicious, bold-flavored shot and combined it with the ExtenZe male enhancement formula, which will temporarily enhance your size with each serving. Drink...Enjoy...and Enjoy again.

ExtenZe Shot Libido shooter can be mixed with alcohol. It contains caffeine to keep you going and other herbal ingredients like l-arginine, gamma aminobutyric acid, betaine, l-theanine, panax ginseng, Rhodiola rosea extract, maca extract, epimedium extract, yohimbine hci.";"We started with a delicious, bold-flavored shot and combined it with the ExtenZe male enhancement formula, which will temporarily enhance your size with each serving. Drink...Enjoy...and Enjoy again.

ExtenZe Shot Libido shooter can be mixed with alcohol. It contains caffeine to keep you going and other herbal ingredients like l-arginine, gamma aminobutyric acid, betaine, l-theanine, panax ginseng, Rhodiola rosea extract, maca extract, epimedium extract, yohimbine hci.";;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:04:24;;1;1;0;1;1;0;1;0;0;1;1;Extenze Shot;0;simple;;
admin;magentostore1;Default;simple;4,6,7;WF-8308;0;1 Row Belt;;;;;;1-row-belt;1-row-belt.html;;;Block after Info Column;;;;;24.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;;;1;0;0;1;1;0;1;0;0;1;1;1 Row Belt;0;simple;;
